,Func_ES_groupping  = ESs grouped according to size of impariment in adults as follows,,,,,,,,,,,,,PKU GROUP,,,,,,CONTROL GROUP,,,,ES,,,,,,,PKU group ,,,CONTROLS,,,,,,
198,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Continuous Naming-5th-1st pos,speed,speed,Naming Semantic Interference Task - Difference position 5-1 - RT,,,,173,94.6,37,720,,,145,62.9,30,,-0.35,,1,-0.44,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
199,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Continuous Naming-5th-1st pos,accuracy,accuracy,Naming Semantic Interference Task - Difference position 5-1 - % Errors,,,,1.3,2,37,720,,,1.1,1.6,30,,-0.11,,1,-0.12,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
200,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop DIFFERENCE-accuracy,,,Stroop Task; Differene incongruous-congruous - % Errors,,,,0.5,1.1,37,720,,,0.8,1,30,,0.29,,1,0.3,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
201,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop DIFFERENCE-speed,,, Difference incongruous-congruous- RT,,,,111.3,86.7,37,720,,,94.3,51.9,30,,-0.24,,1,-0.32,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
202,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop-INTERFERENCE,accuracy,accuracy,Incongruent condition Errors,Naming the colour of words spelling a different colour,,,0.6,1.07,37,720,,,0.8,1,30,,#REF!,,1,-0.16,,0,replicate results,,,,,,1,Since birth,cont treat,Soon after birth,
203,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Palermo et al 2017/2018,2017,Stroop-INTERFERENCE,speed,speed,Incongruent  condition RT,Naming the colour of words spelling a different colour,,,876.7,206.05,37,720,,,730,130.33,30,,-0.85,,1,0.7,,0,replicate results,,,,,,1,Since birth,cont treat,Soon after birth,
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,accuracy,accuracy,Placebo 2nd session - difference neutral-incongruent Errors," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,2,,9,1140,310,,0,,15,,#DIV/0!,,1,,,0,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Sundermann et al 2011-Gr1,2011,STROOP baseline,accuracy,accuracy,Placebo 1st session - neutral errors ," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,2,,9,1140,310,,0,,15,,#DIV/0!,,1,,,0,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,accuracy,accuracy,Placebo 1st session - difference neutral-incongruent Errors," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,2,,9,1140,310,,2,,15,,#DIV/0!,,1,0,,1,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,speed,speed,Placebo 1st session - difference neutral-incongruent RT ," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,167.6,81.3,9,1140,310,,157.2,80.9,15,,-0.13,,1,-0.12,,1,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr1,2011,Stroop DIFFERENCE,speed,speed,Placebo 2nd session - difference neutral-incongruent RT ," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,121.5,64,9,1210,320,,124.1,98.6,15,,0.03,,1,0.03,,1,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Sundermann et al 2011-Gr1,2011,STROOP baseline,accuracy,accuracy,Placebo 2nd session - neutral errors ," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,0,,9,1140,310,,0,,15,,#DIV/0!,,1,0,,1,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Sundermann et al 2011-Gr1,2011,STROOP baseline,speed,speed,Placebo 1st session - neutral RT," Subjects were instructed to decide via push button whether the color of the top row letters were writtetn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,877.9,120.7,9,1140,310,,889,154.1,15,,0.08,,1,0.07,,1,,,,,,,1,Since birth,till  adolescence,Soon after birth,
204,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Sundermann et al 2011-Gr1,2011,STROOP baseline,speed,speed,Placebo 2nd session - neutral RT," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,863.3,175.1,8,1210,320,,838.1,135.5,15,,-0.16,,1,-0.18,,1,,,,,,,1,Since birth,till  adolescence,Soon after birth,
207,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr2,2011,Stroop-INTERFERENCE,speed,,Placebo 2nd session -incongruent cond RT," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,1045,137.9,9,1210,320,,1046.2,213.9,15,,0.01,,1,0.01,,0,,,,,,,,,,,
207,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2011-Gr2,2011,Stroop-INTERFERENCE,speed,,Placebo 2nd session -incongruent cond RT," Subjects were instructed to decide via push button whether the color of the top row letters were writtn in the same color of  the color name written in the bottom row.  In the neutral condtion the top row consisted of a series of XXXX 
and the bottom row of a word spelling a color name in white.  In the congruent condition; the bottom word was written in a consistent colour; in the incongruent condition in an incosistent colour",,,984.8,210.4,9,1210,320,,962.2,194.2,15,,-0.11,,1,-0.11,,0,,,,,,,,,,,
208,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2020,2020,Go-No-Go,accuracy,accuracy,Errors for no-go trials,,,,18.1,13.4,16,926,,,10.1,6.5,17,,-0.76,,1,-1.2,,1,,,,,,,4,within 3 months,--,within 3 months,
209,Adults,EF-Inhibitory control,EF-Inhibitory control,ES_large,Sundermann et al 2020,2020,Go-No-Go,speed,speed,corr RT,,,,471.1,44.975,16,926,,,448.6,72.66,17,,-0.37,,1,-0.3,,1,,,,,,,4,within 3 months,--,within 3 months,
210,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Weglage et al 1996/1999,1996,Stroop-INTERFERENCE,speed,speed,CWIT - interference condition,,,,153.7,45.9,20,1253,,,114.4,41.6,20,,,,1,-0.93,,1,,same data as weglage 1996,,,,,,,,,
211,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,accuracy,accuracy,Errors,,,,7.8,5.7,36,,,,3.5,3.96,69,,,,1,-1.07,,1,,11.18,3.4,,10.29,3.1,,,,,
212,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,,,Self correction ,,,,3.8,3,36,,,,2.7,2.1,69,,,,1,-0.56,,1,,11.18,3.4,,10.29,3.1,,,,,
213,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Anderson et al 2002/2007,2002,Contingency Naming test,speed,speed,Total time,,,,160.4,44.4,36,,,,133.4,30.66,69,,,,1,-0.87,,1,,11.18,3.4,,10.29,3.1,,,,,
214,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Antshel & Waisbren 2003,2003,Stroop-INTERFERENCE,speed,,Color and word Test interference trial,,,,50.7,8.3,46,490,375,,52,9.1,18,,,,-1,-0.14,,1,,10.75,2.1,,13.1,3.2,,,,,
215,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Antisaccade task,accuracy,accuracy,Inhibitory Error,,,,12.1,11.5,26,424,339,,8.9,7.6,25,,,,1,-0.41,,1,,11.2,3.1,,11.3,3.4,,,,,
216,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Antisaccade task,speed,speed,Inhibitory RT,,,,392,77,26,424,339,,353,65,25,,,,1,-0.59,,1,,11.2,3.1,,11.3,3.4,,,,,
217,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Go-No-Go,accuracy,accuracy,Inhibitory Error,,,,31.7,17.4,26,424,339,,25.1,14.4,25,,,,1,-0.45,,1,,11.2,3.1,,11.3,3.4,,,,,
218,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Go-No-Go,speed,speed,Inhibitory RT,,,,443,67,26,424,339,,439,79,25,,,,1,-0.05,,1,,11.2,3.1,,11.3,3.4,,,,,
219,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Flanker task-INTERFERENCE,accuracy,accuracy,Inhibitory Error,,,,7.1,8.9,26,424,339,,8.9,7.5,25,,,,1,0.24,,1,,11.2,3.1,,11.3,3.4,,,,,
220,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Flanker task-INTERFERENCE,,,Errors,,Stroop task,,2.2,3.2,26,424,339,,1.6,2.3,25,,,,1,-0.26,,1,,11.2,3.1,,11.3,3.4,,,,,
221,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Flanker task-INTERFERENCE,speed,speed,Inhibitory RT,,,,777,219,26,424,339,,736,231,25,,,,1,-0.17,,1,,11.2,3.1,,11.3,3.4,,,,,
222,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Christ et al 2006,2006,Stroop-INTERFERENCE,speed,,speed,,Stroop task,,875,186,26,424,339,,870,252,25,,,,1,-0.02,-0.05,1,,11.2,3.1,,11.3,3.4,,,,,
223,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Gassio et al 2005,2005,Stroop-INTERFERENCE,speed,,T score-interference,,,,42,10,26,489,181,,50,7,21,,,,-1,-1.12,,1,,,,,,,,,,,
224,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Jahja et al 2014,2014,Shifting attentional set-visual,,,SSV part 2 - opposite movement,high phe group,,,14.6,11.4,21,590,248,,7.2,7.1,73,,,,1,-1.03,,1,,10.6,2.5,,10.9,2.2,,,,,
225,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Jahja et al 2014,2014,Flanker task-INTERFERENCE,,,FL part 2 - part 1 - inhibitory control,high phe group,,,7.1,7.7,21,590,248,,4.2,3.7,73,,,,1,-0.78,,1,,10.6,2.5,,10.9,2.2,,,,,
226,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Leuzzi et al 2004,2008,Luria Motor Learning Test ,,,respond with opposite gesture to those made by assessor,,,,37.9,1.95,14,491,149,,37.5,1.45,14,,,,-1,0.26,,1,,10.8,1.25,,10.9,1.3,,,,,
227,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Trimarco et al 2020,2020,Inhibition subtest combined,,,"Inhibition involves rapid opposite naming of
shapes (saying square when circle, saying circle
when square) or arrows (say up when pointing
down, say down when pointing up).",scaled score (norm=10;3),,From NespyII,7,2,15,289,83,,10,2,14,,,,-1,-1.46,,1,,,,,,,,,,,
228,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Weglage et al 1996/1999,1996,Stroop-INTERFERENCE,accuracy,accuracy, Errors,Weglage 1996 INT-M - no baseline condition reported,,,15.4,14.2,20,582,372,,7.5,9.1,20,,,,1,-0.85,,1,,10.9,1.3,,11,1.1,,,,,
229,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Weglage et al 1996/1999,1999,Stroop-INTERFERENCE,accuracy,accuracy,CWIT Errors (older 14 years+),Weglage 1999; errors; no error data for baseline condition,CWIT-stroop,,11.6,11.7,20,744,456,,4.5,3.4,20,,,,1,-2.05,,1,-0.61,13.9,1.3,,14,1.1,,,,,
231,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,Weglage et al 1996/1999,1999,Stroop-INTERFERENCE,speed,speed,CWIT speed (older group 14+),Weglage 1999; time 2,,,110.6,24.2,20,744,456,,103.5,22.2,20,,,,1,-0.31,,1,-0.63,,,,,,,,,,
232,Children,EF-Inhibitory control,EF-Inhibitory control,ES_large,White et al 2001,2001,Stroop-INTERFERENCE,,,CWIT  stim correct in 45 sec,,Stroop Color and Word Test,,37.7,16.33,23,496,230,,48.7,15.62,23,,,,-1,-0.69,,1,,10.7,3.4,,11.1,3.7,,,,,
233,Mixed-age,EF-Inhibitory control,EF-Inhibitory control,ES_large,Van Zutphen et al 2007,2007,Flanker task-INTERFERENCE,accuracy,accuracy,Inhibition condition Errors,Colour-word switching,From D-KEFS,,8.7,3.35,15,660,337,,10,3,20,,,,-1,-0.41,,1,,14.8,3,,,,,,,,
234,Mixed-age,EF-Inhibitory control,EF-Inhibitory control,ES_large,Van Zutphen et al 2007,2007,Flanker task-INTERFERENCE,accuracy,accuracy,Switching condition Errors,Colour-word Inhibition,From D-KEFS,,9.5,2.07,15,660,337,,10,3,20,,,,-1,-0.15,,1,,14.8,3,,,,,,,,
235,Mixed-age,EF-Inhibitory control,EF-Inhibitory control,ES_large,Van Zutphen et al 2007,2007,Stroop-INTERFERENCE,speed,speed,Inhibition condition ?,Colour-word switching,From D-KEFS,,9.4,4.3,15,660,337,,10,3,20,,,,-1,-0.2,,1,,14.8,3,,,,,,,,
236,Mixed-age,EF-Inhibitory control,EF-Inhibitory control,ES_large,Van Zutphen et al 2007,2007,Stroop-INTERFERENCE,speed,speed,Switching condition ?,Colour-word Inhibition,From D-KEFS,,8.3,4.2,15,660,337,,10,3,20,,,,-1,-0.57,,1,,14.8,3,,,,,,,,
239,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Jahja et al 2014,2014,Shifting attentional set-visual,,,SSV part 1 - consistent movement,high phe group,,,4.4,5.4,21,590,248,,2.1,2.9,73,,,,1,-0.79,,1,,,,,,,,,,,
240,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Channon et al 2005,2005,Flanker task-baseline-speed,speed,speed,Compatible trials - Speed per item (sec.),,,,0.5,0.06,25,759,,,0.4,0.04,25,,-0.78,,1,-0.98,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
241,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Channon et al 2007 off diet,2007,Flanker task-baseline-speed,speed,speed,Compatible trials - Speed per item (sec.),,,,0.5,0.07,25,1287,,,0.4,0.06,45,,-0.92,,1,-0.99,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
242,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Christ et al 2006,2006,Flanker task-baseline-speed,speed,speed,baseline RT,,,,766,212,26,424,339,,707,211,25,,,,1,-0.28,,1,,11.2,3.1,,11.3,3.4,,,,,
243,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Channon et al 2005,2005,Flanker task-baseline-accuracy,accuracy,accuracy,"on diet, Compatible condition",,,,99.4,1.03,25,759,,,99,1.91,25,,-0.23,,1,-0.18,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
244,Adults,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Channon et al 2007 off diet,2007,Flanker task-baseline-accuracy,accuracy,accuracy,Compatible trials - Number correct,,,,98,1.57,25,1286,,,99.3,1.59,45,,0.81,,-1,-0.8,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
245,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Jahja et al 2014,2014,Flanker task-baseline-accuracy,,,FL part 1 - facilitation (closest to baseline),high phe group,,,7,7.9,21,590,248,,3.9,3.7,73,,,,1,-0.83,,1,,,,,,,,,,,
246,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Christ et al 2006,2006,Flanker task-baseline-accuracy,accuracy,accuracy,baseline Error,,,,5.8,5.7,26,424,339,,6.1,6.5,25,,,,1,0.05,,1,,,,,,,,,,,
247,Adults,EF-Inhibitory control-baseline; Language accuracy,EF-Inhibitory control-baseline; Language accuracy,,Palermo et al 2017/2018,2017,Stroop-baseline-accuracy,accuracy,accuracy,Congruent condition Errors,Naming the colour of words spelling the same colour,,,0,0.18,37,720,,,0,0.18,30,,#REF!,,1,0.16,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
249,Adults,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Palermo et al 2017/2018,2017,Stroop-baseline-speed,speed,speed,Congruent condition RT,Naming the colour of words spelling the same colour,,,710.9,135.13,37,720,,,599.2,91.82,30,,0.97,,1,0.82,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
253,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Antshel & Waisbren 2003,2003,Stroop-baseline-speed,speed,,Reading T-score,,,,44,9.9,46,490,375,,52.3,9.5,18,,,,-1,-0.86,,1,,10.75,2.1,,13.1,3.2,,,,,
254,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Weglage et al 1996/1999,1996,Stroop-baseline-speed,speed,,CWIT Colour naming speed ,,,,83.5,16.7,20,582,372,,62.1,12.1,20,,,,1,3.68,,0,,,,,,,,,,,
255,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Weglage et al 1996/1999,1999,Stroop-baseline-speed,speed,,CWIT Colour naming Speed (older group 14+),Weglage 1999; time 2,,,67.4,11.2,20,744,456,1999 report of 1996  Phe and 1996 Phe aren't the same,56.6,8.2,20,,,,1,-1.29,,0,,,,,,,,,,,
256,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Christ et al 2006,2006,Stroop-baseline-speed,speed,speed,Speed,,,,811,173,26,424,339,,817,207,25,,,,1,0.03,,0,,,,,,,,,,,
257,Children,EF-Inhibitory control-baseline; Language accuracy,EF-Inhibitory control-baseline; Language accuracy,,Christ et al 2006,2006,Stroop-baseline-accuracy,accuracy,accuracy,Errors,,,,1.1,2,26,424,339,,1,1.6,25,,,,1,-0.06,,0,,,,,,,,,,,
258,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Gassio et al 2005,2005,Stroop-baseline-speed,speed,,T score -colour reading,,,,45,8,26,489,181,,50,6,21,,,,-1,-0.82,,0,,12.3,3.7,,11.8,3.6,,,,,
259,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,Gassio et al 2005,2005,Stroop-baseline-speed,speed,,T score-color naming,,,,40,9,26,489,181,,45,6,21,,,,-1,-0.82,,0,,12.3,3.7,,11.8,3.6,,,,,
260,Children,EF-Inhibitory control-baseline; Language speed,EF-Inhibitory control-baseline; Language speed,,White et al 2001,2001,Stroop-baseline-speed,speed,,Colour naming items/min,,Stroop Color and Word Test,,64.7,19.81,23,496,230,,81,22.62,23,,,,-1,-0.71,,1,,10.7,3.4,,11.1,3.7,,,,,
261,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Janos et al 2012,2012,Stimulus–response compatibility mean RT,,,compatible condition press righ key when right circle britens,,,,565,162,42,546,331,,479,175,81,,,,1,-0.49,,1,,11.8,3.5,,12.3,3.2,,,,,
262,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Janos et al 2012,2012,Stimulus–response compatibility SD RT,,,,,,,199,130,42,546,331,,155,127,81,,,,1,-0.34,,1,,11.8,3.5,,12.3,3.2,,,,,
263,Children,EF-Inhibitory control-baseline,EF-Inhibitory control-baseline,,Janos et al 2012,2012,Go-No-Go-baseline speed,,,mean RT,,,,642,138,42,546,331,,587,134,81,,,,1,-0.41,,1,,11.8,3.5,,12.3,3.2,,,,,
265,Adults,Divided attention,Divided attention,,Muri et al 2022,2023,Divided attention (TAP subtests),,,Test of Attentional Performance (TAP),T-scores,Total omission (higher = better),"In this test, a visual and an auditory task must be processed in parallel. The visual task consisted of crosses
326 COUILLET ET AL.
Downloaded By: [Azouvi, Philippe] At: 14:45 18 May 2010
that appeared in a random configuration in a 4  4 matrix. Patients had to
detect whether the crosses form the corner of a square. The auditory task
included a regular sequence of high and low beeps. Patients had to detect
an irregularity in the sequence.",48,13,30,741,IQR=358,,53,13,54,NA,0.38,,-1,-0.38,,1,,NA,,,,,,,,,
266,Adults,Divided attention,Divided attention,,Muri et al 2022,2023,Divided attention (TAP subtests),,,Test of Attentional Performance (TAP),Residuals (USE?),(lower = better),*Residuals are the error terms after regressing out the confounding variable AGE,-0.1,1.9,30,741,IQR=358,,-0.6,2.1,54,NA,-0.27,,1,-0.26,,0,,NA,,,,,,,,,
267,Children,Divided attention,Divided attention,,Anderson et al 2002/2007,2008,Sky Search-Dual Task,,,speed + accuracy,, children have to look for a particular space ship among similar distractors on a large piece of paper; in the dual task condition they have to count the tone they hear at the same time.  Performance is measured with the time it taskes to complete the task.,,125.1,38.489,33,,,,91.6,38.484,34,,,,1,-0.86,,1,,11.18,3.4,,10.3,3.1,,,,,
269,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Palermo et al 2017/2018,2017,Paired associates verbal learning ,,,P-ass-VL delayed recall - % Errors,,,,20.4,23.7,37,720,,,29.3,24.5,30,,0.37,,1,0.36,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
270,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Palermo et al 2017/2018,2017,Paired associates verbal learning ,,,P-ass-VL - % Errors over 5 trials,,,,43.5,22.9,37,720,,,47,14.9,30,,0.18,,1,0.23,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
271,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Romani et al 2020,2020,Paired associates verbal learning ,,,P-ass-VL delayed recall - % Errors,,,,10.2,11,19,1042,,,4.9,7,19,,-0.57,,1,-0.74,,1,,,,,,,1,Since birth,-,Soon after birth,
272,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Romani et al 2020,2020,Paired associates verbal learning ,,,P-ass-VL - % Errors,,,,20.8,8.8,19,1042,,,19.7,6.1,19,,-0.15,,1,-0.18,,1,,,,,,,1,Since birth,-,Soon after birth,
273,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Pilotto et al 2021,2021,Story recall,,,,,,,13,5.61,19,890,,,20,3.14,25,,1.54,,-1,-2.19,,1,,,,,,,,,,,
274,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Smith et al 1996-High Phe,1996,Story recall-delayed,,,Unit recalled,,,,8.9,4.01,11,1545,,,12.7,3.69,22,,0.99,,-1,-1.01,,1,,,,,,,--,--,-,--,
275,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Smith et al 1996-Low Phe,1996,Story recall-delayed,,,Unit recalled,,,,10.8,4.06,11,566,,,12.7,3.69,22,,0.49,,-1,-0.5,,1,,,,,,,--,--,-,--,
276,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Smith et al 1996-High Phe,1996,Story recall-immediate,,,Unit recalled,,,,10.3,4.9,11,1545,,,14,3.59,22,,0.87,,-1,-1.01,,1,,,,,,,--,--,-,--,
277,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Smith et al 1996-Low Phe,1996,Story recall-immediate,,,Unit recalled,,,,12.4,3.52,11,566,,,14,3.59,22,,0.47,,-1,-0.45,,1,,,,,,,--,--,-,--,
278,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Moyle et al 2007,2007,WMS-III-Auditory delayed recall,,,Auditory delayed (WMS III) - Score ,,,,108,14.2,12,-,,,109,2.7,12,,0.1,,-1,-0.36,,1,,,,,,,1,From birth,off diet,Soon after birth,
279,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Moyle et al 2007,2007,WMS-III-Delayed recognition,,,Auditory recognition delayed (WMS III) -Score ,,,,99,11.8,12,-,,,100,11.4,12,,0.09,,-1,-0.08,,1,,,,,,,1,From birth,off diet,Soon after birth,
280,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Aitkenhead et al 2021,2021,Word-list learning,,,CVLT-II Trials 1-5 - z score,,,,0,1.22,152,908,,,0,1,76,,--,,-1,-0.02,1.22,1,,,,,,,1,,-,,
281,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Channon et al 2004,2004,Word-list learning,,,Rey AVLT-  Delayed recall - % corr,,,,75.8,19.5,20,859,,,80.7,19.21,20,,0.25,,-1,-0.25,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
282,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Channon et al 2004,2004,Word-list learning,,,Rey AVLT Recognition - % corr,,,,69,14.63,20,859,,,66.5,13.4,20,,-0.18,,-1,0.18,,1,,,,,,,2,Within 1 month,cont treat,Within 1 month,
283,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Palermo et al 2017/2018,2017,Word-list learning,,,Ret AVLT delayed recall - % Errors,,,,16.3,15.9,37,720,,,15.1,15.1,30,,-0.08,,1,-0.08,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
284,Adults,Verbal memory and learning,Verbal memory and learning,ES_medium,Palermo et al 2017/2018,2017,Word-list learning,,,Rey AVLT - % Errors over 5 trials,,,,24.1,11.2,37,720,,,20.5,8.4,30,,-0.36,,1,-0.42,,1,,,,,,,1,Since birth,cont treat,Soon after birth,
285,Children,Verbal memory and learning,Verbal memory and learning,ES_medium,Anderson et al 2002/2007,2008,Word-list learning,,,Rey AVLT–total,,,,41.5,8.617,33,,,,48,8.746,34,,,,-1,-0.74,,1,,11.18,3.4,,10.3,3.1,,,,,
