"Order","Age..group","Func_EF_flex_one","Function","ES_group","Study","Year","Task","speed.acc....all.speed.tasks.even.if.no.matched.with.accuracy.","speed.acc.matched","Condition.measure","More.information","X","X.1","x.","SD","N..obs","Current.Phe.Mean","SD.1","X.2","x..1","SD.2","N..obs.1","X.3","Cohen..s.D...not.revr","X.4","Coeff","Glass.delta","SD.glass","Include","X.5","x..2","SD.3","X.6","x..3","SD.4","Age.diet.starts","Age.diet.starts.1","Diet.termination","Age.diet.starts.2","X.7"
544,"Adults","Social Cognition","Social Cognition","","Palermo et al 2017/2020; De Felice et al 2018",2020,"Affect Selection-N correct","accuracy","accuracy","Affect Selection - N correct","","","",18.5,"2.0000",20,"670.0000",NA,"",18.2,"2.0000",25,"","-0.15",NA,-1,"0.15","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
545,"Adults","Social Cognition","Social Cognition","","Palermo et al 2017/2020; De Felice et al 2018",2020,"Affect Selection-Time ","speed","speed","Affect Selection - Time (sec.)","","","",5.6,"1.2000",20,"670.0000",NA,"",4.7,"1.3000",25,"","-0.72",NA,1,"-0.68","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
556,"Adults","Social Cognition","Social Cognition","","Palermo et al 2017/2020; De Felice et al 2018",2020,"Identity Test Accuracy-N correct","accuracy","accuracy","Identity Test Accuracy - N correct","","","",21.5,"0.7000",20,"670.0000",NA,"",21.4,"1.0000",25,"","-0.12",NA,-1,"0.10","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
555,"Adults","Social Cognition","Social Cognition","","Palermo et al 2017/2020; De Felice et al 2018",2020,"Identity Test-Time ","speed","speed","Identity Test  - Time (sec,)","","","",2.8,"1.1000",20,"670.0000",NA,"",2.2,"0.7000",25,"","-0.65",NA,1,"-0.84","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
550,"Adults","Social Cognition","Social Cognition","","Smith et al 1996-High Phe",1996,"Face closure","","","number correct","","","",24.5,"4.1400",11,"1545.0000",NA,"",27.95,"4.4700",22,"","0.80",NA,-1,"-0.75","",1,"","","","",NA,"","--","--","-","--",""
552,"Adults","Social Cognition","Social Cognition","","Smith et al 1996-High Phe",1996,"Face memory","","","standard score","","","",9.6,"2.0700",11,"1545.0000",NA,"",11.86,"2.7500",22,"","0.93",NA,-1,"-0.80","",1,"","","","",NA,"","--","--","-","--",""
551,"Adults","Social Cognition","Social Cognition","","Smith et al 1996-Low Phe",1996,"Face closure","","","number correct","","","",24.8,"4.4700",11,"566.0000",NA,"",27.95,"4.4700",22,"","0.70",NA,-1,"-0.69","",1,"","","","",NA,"","--","--","-","--",""
553,"Adults","Social Cognition","Social Cognition","","Smith et al 1996-Low Phe",1996,"Face memory","","","standard score","","","",10.4,"3.5900",11,"566.0000",NA,"",11.86,"2.7500",22,"","0.46",NA,-1,"-0.52","",1,"","","","",NA,"","--","--","-","--",""
273,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Aitkenhead et al 2021",2021,"Word-list learning","","","CVLT-II Trials 1-5 - z score","","","",-0.02,"1.2200",152,"908.0000",NA,"",0,"1.0000",76,"","--",NA,-1,"-0.02","1.22",1,"","","","",NA,"","1","","-","",""
274,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Channon et al 2004",2004,"Word-list learning","","","Rey AVLT-  Delayed recall - % corr","","","",75.76,"19.5000",20,"858.5000",NA,"",80.67,"19.2100",20,"","0.25",NA,-1,"-0.25","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
275,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Channon et al 2004",2004,"Word-list learning","","","Rey AVLT Recognition - % corr","","","",69,"14.6300",20,"858.5000",NA,"",66.5,"13.4000",20,"","-0.18",NA,-1,"0.18","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
271,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Moyle et al 2007",2007,"WMS-III-Auditory delayed recall","","","Auditory delayed (WMS III) - Score ","","","",108,"14.2000",12,"-",NA,"",109,"2.7000",12,"","0.10",NA,-1,"-0.36","",1,"","","","",NA,"","1","From birth","off diet","Soon after birth",""
272,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Moyle et al 2007",2007,"WMS-III-Delayed recognition","","","Auditory recognition delayed (WMS III) -Score ","","","",99,"11.8000",12,"-",NA,"",100,"11.4000",12,"","0.09",NA,-1,"-0.08","",1,"","","","",NA,"","1","From birth","off diet","Soon after birth",""
262,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Palermo et al 2017/2020; De Felice et al 2018",2017,"Paired associates verbal learning ","","","P-ass-VL delayed recall - % Errors","","","",20.4,"23.7000",37,"720.0000",NA,"",29.3,"24.5000",30,"","0.37",NA,1,"0.36","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
263,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Palermo et al 2017/2020; De Felice et al 2018",2017,"Paired associates verbal learning ","","","P-ass-VL - % Errors over 5 trials","","","",43.5,"22.9000",37,"720.0000",NA,"",47,"14.9000",30,"","0.18",NA,1,"0.23","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
276,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Palermo et al 2017/2020; De Felice et al 2018",2017,"Word-list learning","","","Ret AVLT delayed recall - % Errors","","","",16.3,"15.9000",37,"720.0000",NA,"",15.1,"15.1000",30,"","-0.08",NA,1,"-0.08","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
277,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Palermo et al 2017/2020; De Felice et al 2018",2017,"Word-list learning","","","Rey AVLT - % Errors over 5 trials","","","",24.1,"11.2000",37,"720.0000",NA,"",20.5,"8.4000",30,"","-0.36",NA,1,"-0.42","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
266,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Pilotto et al 2021",2021,"Story recall","","","","","","",13,"5.6100",19,"890.0000",NA,"",20,"3.1400",25,"","1.54",NA,-1,"-2.19","",1,"","","","",NA,"","","","","",""
264,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Romani et al 2020",2020,"Paired associates verbal learning ","","","P-ass-VL delayed recall - % Errors","","","",10.2,"11.0000",19,"1042.0000",NA,"",4.9,"7.0000",19,"","-0.57",NA,1,"-0.74","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
265,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Romani et al 2020",2020,"Paired associates verbal learning ","","","P-ass-VL - % Errors","","","",20.8,"8.8000",19,"1042.0000",NA,"",19.7,"6.1000",19,"","-0.15",NA,1,"-0.18","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
267,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Smith et al 1996-High Phe",1996,"Story recall-delayed","","","Unit recalled","","","",8.85,"4.0100",11,"1545.0000",NA,"",12.66,"3.6900",22,"","0.99",NA,-1,"-1.01","",1,"","","","",NA,"","--","--","-","--",""
269,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Smith et al 1996-High Phe",1996,"Story recall-immediate","","","Unit recalled","","","",10.3,"4.9000",11,"1545.0000",NA,"",14.02,"3.5900",22,"","0.87",NA,-1,"-1.01","",1,"","","","",NA,"","--","--","-","--",""
268,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Smith et al 1996-Low Phe",1996,"Story recall-delayed","","","Unit recalled","","","",10.75,"4.0600",11,"566.0000",NA,"",12.66,"3.6900",22,"","0.49",NA,-1,"-0.50","",1,"","","","",NA,"","--","--","-","--",""
270,"Adults","Verbal memory and learning","Verbal memory and learning","ES_small","Smith et al 1996-Low Phe",1996,"Story recall-immediate","","","Unit recalled","","","",12.35,"3.5200",11,"566.0000",NA,"",14.02,"3.5900",22,"","0.47",NA,-1,"-0.45","",1,"","","","",NA,"","--","--","-","--",""
278,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Anderson et al 2002/2007",2008,"Word-list learning","","","Rey AVLT–total","","","",41.49,"8.6168",33,"",NA,"",48,"8.7464",34,"","",NA,-1,"-0.74","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
279,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Anderson et al 2002/2007",2008,"Word-list learning","","","RVDLT–total","","","",28.26,"8.6168",33,"",NA,"",34.07,"8.7464",34,"","",NA,-1,"-0.66","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
282,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Antshel & Waisbren 2003",2003,"Word-list learning","","","CVLT - Trial 5","","","",40.3,"9.2000",46,"490.3448",375.3257,"",49.6,"11.1000",18,"","",NA,-1,"-0.83","",1,"","10.75","2.1","",13.1,"3.2","","","","",""
283,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Bisiacchi et al 2018",2018,"Word-list learning","","","Delayed recall z score","","","",-0.77,"0.8000",11,"743.1800",83.66,"",0.58,"0.6700",28,"","",NA,-1,"-1.97","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
284,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Bisiacchi et al 2018",2018,"Word-list learning","","","Immediate recall z score","","","",-0.88,"1.0000",11,"743.1800",83.66,"",0.03,"0.7700",28,"","",NA,-1,"-1.16","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
289,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Gassio et al 2005",2005,"Word-list learning","","","Children Auditory Verbal learning test - 5th trial","","","",57,"9.0000",26,"489.0000",181,"",60,"11.0000",21,"","",NA,-1,"-0.27","",1,"","12.3","3.7","",11.8,"3.6","","","","",""
290,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Gassio et al 2005",2005,"Word-list learning","","","Delayed recall","","","",61,"10.0000",26,"489.0000",181,"",62,"8.0000",21,"","",NA,-1,"-0.12","",1,"","12.3","3.7","",11.8,"3.6","","","","",""
280,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Griffiths 1995",1995,"Word-list learning","","","Rey Verbal Learning. Total Recall of orally presented t5-word list, repeated five times ","","","",42.4,"10.0900",10,"348.0000",NA,"",43,"7.6500",10,"","",NA,-1,"-0.08","",1,"","7.53","-","",7.59,"-","","median age 15 days (range 12-20)","","",""
285,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Smith et al 2000",1999,"Word-list learning","","","Delayed recall total words across 3 trials","","","",16.69,"3.9800",19,"777.2000",199.9,"",20.68,"3.6500",19,"","",NA,-1,"-1.07","",1,"","9.4","2.9","",9.3,"2.9","","","","",""
286,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","Smith et al 2000",2000,"Word-list learning","","","Immediate recall total words across 3 trials","recall 12 unrelated words","","",4.9,"2.5100",19,"777.2000",199.9,"",6.05,"2.4800",19,"","",NA,-1,"-0.45","",1,"","9.4","2.9","",9.3,"2.9","","","","",""
294,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","White et al 2001",2001,"Word-list learning","","","CVLT - Trial 5 (words correct)","","","",10.3,"3.5600",23,"496.4000",230,"",11.35,"3.1700",23,"","",NA,-1,"-0.33","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
295,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","White et al 2001",2001,"Word-list learning","","","CVLT -Trial 5 semantic cluster ratio","","","",0.31,"0.2000",23,"496.4000",230,"",0.41,"0.2100",23,"","",NA,-1,"-0.47","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
296,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","White et al 2001",2001,"Word-list learning","","","CVLT -Short-delay free recall (words correct)","","","",9.39,"2.6900",23,"496.4000",230,"",10.35,"3.3900",23,"","",NA,-1,"-0.28","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
297,"Children","Verbal memory and learning","Verbal memory and learning","ES_medium","White et al 2001",2001,"Word-list learning","","","CVLT -Long-delay free recall (words correct)","","","",9.87,"2.4400",23,"496.4000",230,"",10.43,"2.9400",23,"","",NA,-1,"-0.19","",1,"","10.7","3.4","",11.1,"3.7","","","","",""
281,"Mixed-age","Verbal memory and learning","Verbal memory and learning","","Griffiths 1995",1995,"Word-list learning","","","Rey Verbal Learning. Total Recall of orally presented t5-word list, repeated five times ","","","",46.7,"8.0800",10,"1014.0000",216,"",55.1,"7.4000",10,"","",NA,-1,"-1.09","",1,"","20.6","3.8","13.6-28.42",NA,"","","","","",""
312,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Abgottspon et al 2022",2022,"N-back task","accuracy","accuracy","3 back - correct","","","",81.4,"6.3000",20,"702.3000",NA,"",87.4,"7.9000",40,"","0.84",NA,-1,"-0.75","",1,"","","","",NA,"","1","","","",""
313,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Abgottspon et al 2022",2022,"N-back task","speed","speed","3 back - speed ","","","",816,"306.5000",20,"702.3000",NA,"",771.6,"282.4000",40,"","-0.15",NA,1,"-0.16","",1,"","","","",NA,"","1","","","",""
299,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Aitkenhead et al 2021",2021,"Digit span-forward","","","z score","","","",-0.33,"1.0000",153,"908.0000",NA,"",0,"1.0000",76,"","0.33",NA,-1,"-0.33","1.00",1,"","","","",NA,"","1","","--","",""
308,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Aitkenhead et al 2021",2021,"Digit span–backwards","","","z score","","","",-0.47,"0.8300",153,"908.0000",NA,"",0,"1.0000",76,"","0.33",NA,-1,"-0.47","0.83",1,"","","","",NA,"","1","","--","",""
314,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Channon et al 2005",2005,"N-back task","","","Combined 0 back, 1 back, 2 back task - % correct  -on diet","","","",95.18,"3.4600",25,"758.7900",NA,"",94.6,"3.7000",25,"","-0.16",NA,-1,"0.15","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
315,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Channon et al 2007 off diet",2007,"N-back task","accuracy","accuracy","Combined 0 back, 1 back, 2 back task -  % correct - off diet","","","",92.43,"4.9900",25,"1285.6800",NA,"",93.88,"4.8600",45,"","0.29",NA,-1,"-0.30","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
316,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Channon et al 2007 off diet",2007,"N-back task","speed","speed","Combined 0 back, 1 back, 2 back task - Speed per item -off diet","","","",0.84,"0.6800",25,"1285.6800",NA,"",0.63,"0.2600",45,"","-0.41",NA,1,"-0.80","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
311,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Christ et al 2023",2023,"List sorting","","","T-score","Participants are visually and orally presented with a series of picture stimuli and asked to recall the stimuli in size order from smallest to biggest. Participants are exposed to both a one-list condition and a two-list condition where items from one semantic category must be repeated in size order before items from the second semantic category.","NIH Toolbox Cognitive Battery","",45,"10.3000",40,"589.0000",444,"",53,"7.8000",32,NA,"0.88",NA,-1,"-1.01","",1,"",NA,"","",NA,"","","","","",""
326,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Moyle et al 2007",2007,"WMS-III Auditory Immediate Memory","","","Auditory Immediate Memory score (WMS III)","","","",106,"5.4000",12,"-",NA,"",105,"5.2000",12,"","-0.19",NA,-1,"0.19","",1,"","","","",NA,"","1","Since birth","cont treat, but off  diet","Soon after birth",""
317,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Muri et al 2022",2023,"N-back task","","","Test of Attentional Performance (TAP)","Raw scores","Accuracy in % correct","cant find N??",94.5,"7.0000",30,"741.0000",265.1852,"IQR=358",98,"3.0000",54,"54","0.41",NA,-1,"-1.16","",1,"",NA,"","",NA,"","","","","",""
318,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Muri et al 2022",2023,"N-back task","","","Test of Attentional Performance (TAP)","Residuals (use?)","higher = better","*Residuals are the error terms after regressing out the confounding variable AGE",-2.4,"7.0000",30,"741.0000",265.1852,"IQR=358",0.8,"3.2000",54,"54","0.4",NA,-1,"-0.99","",1,"",NA,"","",NA,"","","","","",""
301,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"Digit span-forward","","","Digit span-forward","","","",6.1,"1.0000",37,"720.0000",NA,"",6.5,"0.9000",30,"","0.42",NA,-1,"-0.44","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
323,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"Nonword repetition ","","","Nonword repetition - % Errors","","","",48.2,"12.5000",37,"720.0000",NA,"",39.3,"10.4000",30,"","-0.77",NA,1,"-0.85","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
302,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Pilotto et al 2021",2021,"Digit span-forward","","","Digit span-forward","","","",14,"3.2000",19,"890.0000",NA,"",19,"2.3600",25,"","1.78",NA,-1,"-2.08","",1,"","","","",NA,"","2","","cont treat","",""
303,"Adults","Verbal STM/WM","Verbal STM/WM","ES_medium","Romani et al 2020",2020,"Digit span-forward","","","Digit span-forward","","","",5.9,"0.9000",19,"1042.0000",NA,"",5.9,"1.1000",19,"","0.00",NA,-1,"0.00","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
304,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Anderson et al 2002/2007",2008,"Digit span-forward","","","Digit span-forward","","","",5.32,"1.1489",33,"",NA,"",5.56,"1.1662",34,"","",NA,-1,"-0.20","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
309,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Anderson et al 2002/2007",2008,"Digit span–backwards","","","Digit span–backwards","","","",3.27,"1.1489",33,"",NA,"",3.88,"1.1662",34,"","",NA,-1,"-0.52","",1,"","11.18","3.4","",10.3,"3.1","","","","",""
305,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Bisiacchi et al 2018",2018,"Digit span-forward","","","Digit span-forward","","","",5.4,"0.5000",11,"743.1800",83.66,"",5.9,"0.8000",28,"","",NA,-1,"-0.61","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
310,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Bisiacchi et al 2018",2018,"Digit span–backwards","","","Digit span–backwards","","","",3.5,"0.5000",11,"743.1800",83.66,"",4.3,"0.8000",28,"","",NA,-1,"-0.98","",1,"","13.0","2.5","",11.8,"2.5","","","","",""
306,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Griffiths 1998",1998,"Digit span-forward","","","Digit span-forward","","","",18.45,"4.7000",11,"388.0000",127,"",20.91,"4.6400",11,"","",NA,-1,"-0.51","",1,"","8.83","1.7","",8.8,"1.7","","","","",""
319,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Griffiths 1998",1998,"N-back task","accuracy","accuracy","2 back - accuracy","","","",64.55,"7.5400",11,"388.0000",127,"",63.2,"16.9000",11,"","",NA,-1,"0.08","",1,"","8.83","1.7","",8.8,"1.7","","","","",""
321,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Griffiths 1998",1998,"N-back task","accuracy","accuracy","One back ","","","",72.18,"7.1700",11,"388.0000",127,"",69.7,"10.5000",11,"","",NA,-1,"0.23","",1,"","8.83","1.7","",8.8,"1.7","","","","",""
320,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Griffiths 1998",1998,"N-back task","speed","speed","2 back -RT","","","",509,"72.0000",11,"388.0000",127,"",481,"14.0000",11,"","",NA,1,"-1.92","",1,"","8.83","1.7","",8.8,"1.7","","","","",""
322,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Griffiths 1998",1998,"N-back task","speed","speed","One back ","","","",499,"81.0000",11,"388.0000",127,"",462,"92.0000",11,"","",NA,1,"-0.39","",1,"","8.83","1.7","",8.8,"1.7","","","","",""
325,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Trimarco et al 2020",2020,"WM index ","","","","","","From NespyII",94,"14.2500",15,"289.0000",82.8,"",103,"12.7500",14,"","",NA,-1,"-0.69","",1,"","","","",NA,"","","","","",""
324,"Children","Verbal STM/WM","Verbal STM/WM","ES_small","Weglage et al 1995",1995,"stardized From WISC-R","","","","","","",10.2,"2.2000",20,"583.0000",377,"",11,"2.8000",20,"","",NA,-1,"-0.28","",1,"","10.9","1.3","",11,"1.1","","","","",""
382,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Channon et al 2004",2004,"Rey-Osterrieth CFT-recall","",""," delayed recall-% correct","","","",63.33,"19.0600",20,"858.5000",NA,"",70.63,"18.5800",20,"","0.39",NA,-1,"-0.39","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
390,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Channon et al 2004",2004,"Rey-Osterrieth CFT-recognition ","","","t recognition -  % correct","","","",58.75,"4.3500",20,"858.5000",NA,"",59.86,"5.0600",20,"","0.24",NA,-1,"-0.22","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
394,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Moyle et al 2007",2007,"WMS-III Visual delayed","","","Visual Delayed  WMS III  - Score","","","",95,"13.9000",12,"-",NA,"",97,"2.9000",12,"","0.20",NA,-1,"-0.67","",1,"","","","",NA,"","1","From birth","off diet","Soon after birth",""
383,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Nardecchia et al 2015",2015,"Rey-Osterrieth CFT-recall","","","Recall  second assessment - % correct","","","",44.64,"37.1800",14,"-",NA,"",57.14,"35.0100",14,"","0.35",NA,-1,"-0.35","",1,"","","","",NA,"","3","Witihn 2 months","cont treat","Witihn 2 months",""
379,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"P-ass VisL % err","","","","","","",14.1,"8.5000",37,"720.0000",NA,"",10.5,"8.3000",30,"","-0.43",NA,1,"-0.43","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
381,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Palermo et al 2017/2020; De Felice et al 2018",2017,"P-ass-VisL % err","","","P-ass VisL % Errors. Delayed match to sample % Errors","","","",3.1,"3.8200",37,"720.0000",NA,"",1.9,"1.9000",30,"","-0.40",NA,1,"-0.62","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
384,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Pilotto et al 2021",2021,"Rey-Osterrieth CFT-recall","","","Recall-Raw score","","","",21,"11.2100",19,"890.0000",NA,"",30,"3.1400",25,"","1.09",NA,-1,"-2.81","",1,"","","","",NA,"","2","","","",""
385,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Ris et al 1994",1994,"Rey-Osterrieth CFT-recall","",""," Rey complex figure raw scores - N correct vs siblings ","","","",64,"10.0000",25,"1332.0000",NA,"",69,"2.0000",15,"","0.69",NA,-1,"-2.45","",1,"","","","",NA,"","2","Within 1 month","cont treat","Within 1 month",""
380,"Adults","Visual learning LTM","Visual learning LTM","ES_medium","Romani et al 2020",2020,"P-ass VisL % err","","","","","","",2.3,"2.2000",19,"1042.0000",NA,"",1.2,"1.3000",19,"","-0.61",NA,1,"-0.83","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
386,"Children","Visual learning LTM","Visual learning LTM","ES_large","Antshel & Waisbren 2003",2003,"Rey-Osterrieth CFT-recall","","","Delayed recallOrganizational score ","","","",43.8,"7.5000",46,"490.3448",375.3257,"",49.7,"5.9000",18,"","",NA,-1,"-0.99","",1,"","10.75","2.1","",13.1,"3.2","","","","",""
387,"Children","Visual learning LTM","Visual learning LTM","ES_large","Antshel & Waisbren 2003",2003,"Rey-Osterrieth CFT-recall","","","Immediate recall Organizational score","","","",42.7,"8.7000",46,"490.3448",375.3257,"",50.3,"8.2000",18,"","",NA,-1,"-0.92","",1,"","10.75","2.1","",13.1,"3.2","","","","",""
389,"Children","Visual learning LTM","Visual learning LTM","ES_large","Gassio et al 2005",2005,"Rey-Osterrieth CFT-recall","","","Delayed recall","","","",53,"10.0000",26,"489.0000",181,"",59,"11.0000",21,"","",NA,-1,"-0.54","",1,"","12.3","3.7","",11.8,"3.6","","","","",""
391,"Children","Visual learning LTM","Visual learning LTM","ES_large","Griffiths 1995",1995,"Rey-Davis Manual Labyrinth","","","Systematic search and recall, repeated five times, of single peg positions in each of four stacked wooden boards, each board containing a further eight distractor pegs (Zangwill 1946)","","","",10.5,"4.7400",10,"348.0000",NA,"",13.1,"4.98",10,"","",NA,-1,"-0.50","",1,"","7.53","-","",7.59,"-","","median age 15 days (range 12-20)","","",""
388,"Children","Visual learning LTM","Visual learning LTM","ES_large","Leuzzi et al 2004",2010,"Rey-Osterrieth CFT-recall","","","From memory","","","",19.5,"6.9300",14,"491.0000",149.2,"",24.88,"6.8500",14,"","",NA,-1,"-0.76","",1,"","10.8","1.25","",10.9,"1.3","","","","",""
392,"Mixed-age","Visual learning LTM","Visual learning LTM","","Griffiths 1995",1995,"Rey-Davis Manual Labyrinth","","","Systematic search and recall, repeated five times, of single peg positions in each of four stacked wooden boards, each board containing a further eight distractor pegs (Zangwill 1946)","","","",14.5,"3.9500",10,"1014.0000",216,"",17.6,"1.0800",10,"","",NA,-1,"-2.75","",1,"","20.6","3.8","13.6-28.42",NA,"","","","","",""
377,"Mixed-age","Visual learning LTM","Visual learning LTM","","Luciana et al 2001",2001,"Delayed matching to sample","","","Pattern condition","% correct","Delayed mattching to sample a number of geometric patterns are presented; then the ppts has to decide which of two patterns was presented before","",0.89,"0.1100",18,NA,NA,"",0.92,"0.1000",16,"","",NA,-1,"-0.29","",1,"","17.88","2.74","",16.32,"2.92","","","","",""
378,"Mixed-age","Visual learning LTM","Visual learning LTM","","Luciana et al 2001",2001,"Delayed matching to sample","","","Spatial condition","% correct","Point to the location (out of 5) where a given stimulus was presetned ","",0.7,"0.1600",18,NA,NA,"",0.75,"0.1600",16,"","",NA,-1,"-0.31","",1,"","17.88","2.74","",16.32,"2.92","","","","",""
439,"Adults","Visual spatial attention speed","Visual spatial attention speed","","Jahja et al 2016/2017",2017,"Memory search-high load-RT","speed","speed","Memory search 2 dimension task - high memory load - RT","","","",2144,"570.0000",57,"655.0000",NA,"",1875,"418.0000",57,"","-0.54",NA,1,"-0.64","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
440,"Adults","Visual spatial attention speed","Visual spatial attention speed","","Jahja et al 2016/2017",2017,"Memory search-low load-RT","speed","speed","Memory search 2 dimension task - low memory load RT","","","",605,"146.0000",57,"655.0000",NA,"",549,"80.0000",57,"","-0.48",NA,1,"-0.70","",1,"","","","",NA,"","1","Since birth","-","Soon after birth",""
432,"Adults","Visual spatial attention speed","Visual spatial attention speed","","Palermo et al 2017/2020; De Felice et al 2018",2017,"Choice detection","speed","speed","Choice Reaction time - RT","","","",307,"42.0000",37,"720.0000",NA,"",281,"31.3000",30,"","-0.70",NA,1,"-0.82","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
433,"Adults","Visual spatial attention speed","Visual spatial attention speed","","Palermo et al 2017/2020; De Felice et al 2018",2017,"Conjoined search","speed","speed","Conjoined search - RT","","","",1008,"239.7000",37,"720.0000",NA,"",841,"126.3000",30,"","-0.87",NA,1,"-1.31","",1,"","","","",NA,"","1","Since birth","cont treat","Soon after birth",""
